path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,MobileNetV3,L30_G30,tralo,3,29,21,9,21,4,5,22,5,6,True,True,12.0,13.0,1.0,56.0,True,5,0,5,0,,8.0,268.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,MobileNetV3,L30_G30,tralo,4,29,22,9,22,4,6,23,5,7,True,True,14.0,15.0,1.0,66.0,True,6,0,6,0,,1.0,174.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,2.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,29,29,29,29,2,2,29,2,2,False,False,28.0,28.0,1.0,0.0,ABSENT->default True,2,2,2,2,26.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,27.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,29,29,29,29,1,1,29,1,1,False,False,29.0,29.0,1.0,0.0,ABSENT->default True,1,1,1,1,25.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,4.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,8.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,17.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,17.0,ABSENT->default True,0,0,0,0,28.0,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,MobileNetV3,L30_G30,tralo,1,29,29,8,29,1,1,29,1,1,False,False,2.0,3.0,1.0,0.0,True,1,0,0,0,,42.0,243.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,MobileNetV3,L30_G30,tralo,2,29,29,8,29,1,1,29,1,1,False,False,2.0,3.0,1.0,0.0,True,1,0,0,0,,55.0,228.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,MobileNetV3,L30_G30,tralo,3,29,29,9,29,2,2,29,2,2,False,False,27.0,28.0,1.0,0.0,True,2,0,2,0,,47.0,390.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,MobileNetV3,L30_G30,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,2.0,True,0,0,0,0,,77.0,237.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,29,29,29,29,1,1,29,1,1,False,False,1.0,1.0,1.0,16.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,10.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,29,29,29,29,1,1,29,1,1,False,False,24.0,24.0,1.0,31.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,29,29,29,29,3,3,29,3,3,False,False,1.0,1.0,1.0,7.0,ABSENT->default True,3,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,29,29,29,29,1,1,29,1,1,False,False,1.0,1.0,1.0,16.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,29.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,4.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,29,29,29,29,2,2,29,2,2,False,False,1.0,1.0,1.0,4.0,ABSENT->default True,2,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,MobileNetV3,L30_G30,tralo,1,29,29,7,29,1,1,29,1,1,False,False,1.0,2.0,1.0,16.0,True,1,0,0,0,,35.0,247.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,MobileNetV3,L30_G30,tralo,2,29,29,7,29,0,0,29,0,0,False,False,,,0.0,22.0,True,0,0,0,0,,84.0,254.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,MobileNetV3,L30_G30,tralo,3,29,29,9,29,1,2,29,1,2,False,False,8.0,9.0,1.0,15.0,True,2,0,2,0,,30.0,203.0
results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,MobileNetV3,L30_G30,tralo,4,29,29,8,29,2,3,29,2,3,False,False,1.0,2.0,1.0,9.0,True,3,0,0,0,,25.0,202.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,29,24,24,24,5,6,24,5,6,False,True,14.0,14.0,1.0,33.0,ABSENT->default True,6,5,5,4,20.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,3.0,ABSENT->default True,0,0,0,0,15.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,20,20,20,5,5,20,5,5,False,True,16.0,16.0,1.0,35.0,ABSENT->default True,5,5,5,5,15.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,14.0,ABSENT->default True,5,5,5,5,17.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,29,29,29,29,3,3,29,3,3,False,False,27.0,27.0,1.0,57.0,ABSENT->default True,3,3,0,0,12.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,29,29,29,29,4,4,29,4,4,False,False,26.0,26.0,1.0,40.0,ABSENT->default True,4,4,0,0,23.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,29,25,25,25,5,5,25,5,5,False,True,21.0,21.0,1.0,73.0,ABSENT->default True,5,5,0,0,15.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,29,28,28,28,5,6,28,5,6,False,True,8.0,8.0,1.0,59.0,ABSENT->default True,6,5,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,MobileNetV3,L50_G50,tralo,1,29,22,11,22,4,7,23,5,8,True,True,3.0,4.0,1.0,71.0,True,7,0,6,0,,42.0,190.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,MobileNetV3,L50_G50,tralo,2,29,26,17,26,4,13,27,5,14,True,True,2.0,3.0,1.0,16.0,True,13,0,12,0,,73.0,155.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,MobileNetV3,L50_G50,tralo,3,29,27,14,27,4,11,28,5,12,True,True,9.0,10.0,1.0,10.0,True,11,0,9,0,,66.0,281.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,dermmnist,MobileNetV3,L50_G50,tralo,4,29,29,14,29,4,10,29,4,10,False,False,3.0,4.0,1.0,11.0,True,10,0,9,0,,84.0,221.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,29,29,29,29,2,6,29,2,6,False,False,2.0,2.0,1.0,17.0,ABSENT->default True,6,0,5,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,29,29,29,5,11,29,5,11,False,False,2.0,2.0,1.0,14.0,ABSENT->default True,11,4,10,4,26.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,29,29,29,1,1,29,1,1,False,False,26.0,26.0,1.0,14.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,29,29,29,4,7,29,4,7,False,False,5.0,5.0,1.0,8.0,ABSENT->default True,7,4,7,4,26.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,octmnist,MobileNetV3,L50_G50,hounie_rcl,1,29,29,29,29,1,3,29,1,3,False,False,2.0,2.0,1.0,29.0,ABSENT->default True,3,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,octmnist,MobileNetV3,L50_G50,hounie_rcl,2,29,29,29,29,2,2,29,2,2,False,False,2.0,2.0,1.0,12.0,ABSENT->default True,2,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,octmnist,MobileNetV3,L50_G50,hounie_rcl,3,29,29,29,29,1,4,29,1,4,False,False,11.0,11.0,1.0,39.0,ABSENT->default True,4,1,0,0,26.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,octmnist,MobileNetV3,L50_G50,hounie_rcl,4,29,29,29,29,2,4,29,2,4,False,False,8.0,8.0,1.0,61.0,ABSENT->default True,4,2,0,0,23.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,octmnist,MobileNetV3,L50_G50,tralo,1,29,29,11,29,1,4,29,1,4,False,False,2.0,3.0,1.0,27.0,True,4,0,3,0,,53.0,243.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,octmnist,MobileNetV3,L50_G50,tralo,2,29,29,14,29,3,10,29,3,10,False,False,2.0,3.0,1.0,26.0,True,10,0,8,0,,47.0,180.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,octmnist,MobileNetV3,L50_G50,tralo,3,29,29,11,29,1,5,29,1,5,False,False,7.0,8.0,1.0,17.0,True,5,0,5,0,,107.0,236.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,octmnist,MobileNetV3,L50_G50,tralo,4,29,29,9,29,1,4,29,1,4,False,False,4.0,5.0,1.0,21.0,True,4,0,4,0,,76.0,280.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,29,29,29,29,1,1,29,1,1,False,False,1.0,1.0,1.0,25.0,ABSENT->default True,1,0,1,0,28.0,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,29,29,29,1,2,29,1,2,False,False,11.0,11.0,1.0,3.0,ABSENT->default True,2,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,29,29,29,3,5,29,3,5,False,False,1.0,1.0,1.0,20.0,ABSENT->default True,5,0,2,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,29,29,29,4,5,29,4,5,False,False,1.0,1.0,1.0,9.0,ABSENT->default True,5,0,2,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,29,29,29,29,1,1,29,1,1,False,False,1.0,1.0,1.0,51.0,ABSENT->default True,1,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,9.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,29,29,29,29,3,6,29,3,6,False,False,1.0,1.0,1.0,32.0,ABSENT->default True,6,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,29,29,29,29,3,4,29,3,4,False,False,1.0,1.0,1.0,1.0,ABSENT->default True,4,0,1,0,,,
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,tissuemnist,MobileNetV3,L50_G50,tralo,1,29,29,7,29,1,2,29,1,2,False,False,1.0,2.0,1.0,40.0,True,2,0,0,0,,35.0,257.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,tissuemnist,MobileNetV3,L50_G50,tralo,2,29,29,8,29,1,2,29,1,2,False,False,4.0,5.0,1.0,28.0,True,2,0,1,0,,58.0,300.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,tissuemnist,MobileNetV3,L50_G50,tralo,3,29,4,4,4,4,4,5,5,5,True,True,1.0,2.0,1.0,23.0,True,4,0,0,0,,50.0,76.0
results/headroom/headroom_b30_lrc0.0001/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,tissuemnist,MobileNetV3,L50_G50,tralo,4,29,29,9,29,4,5,29,4,5,False,False,1.0,2.0,1.0,18.0,True,5,0,1,0,,25.0,123.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,46.0,ABSENT->default True,5,5,5,5,15.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,19,19,19,5,5,19,5,5,False,True,15.0,15.0,1.0,16.0,ABSENT->default True,5,5,5,5,14.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,20,20,20,5,5,20,5,5,False,True,16.0,16.0,1.0,16.0,ABSENT->default True,5,5,5,5,14.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,19.0,ABSENT->default True,0,0,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,29,29,29,3,3,29,3,3,False,False,27.0,27.0,1.0,51.0,ABSENT->default True,3,3,0,0,22.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,25,25,25,5,5,25,5,5,False,True,21.0,21.0,1.0,62.0,ABSENT->default True,5,5,0,0,16.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,59.0,ABSENT->default True,5,5,0,0,14.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,26,26,26,5,5,26,5,5,False,True,22.0,22.0,1.0,58.0,ABSENT->default True,5,5,0,0,16.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,dermmnist,RegNetY400MF,L30_G30,tralo,1,29,29,10,29,3,5,29,3,5,False,False,23.0,24.0,1.0,67.0,True,5,0,5,0,,0.0,225.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,dermmnist,RegNetY400MF,L30_G30,tralo,2,29,27,11,27,4,6,28,5,7,True,True,17.0,18.0,1.0,67.0,True,6,0,6,0,,0.0,1380.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,dermmnist,RegNetY400MF,L30_G30,tralo,3,29,27,11,27,4,6,28,5,7,True,True,16.0,17.0,1.0,41.0,True,6,0,5,0,,0.0,1871.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,dermmnist,RegNetY400MF,L30_G30,tralo,4,29,24,11,24,4,6,25,5,7,True,True,17.0,18.0,1.0,61.0,True,6,0,5,0,,2.0,1266.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,50.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,29,29,29,1,1,29,1,1,False,False,29.0,29.0,1.0,0.0,ABSENT->default True,1,1,1,1,27.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,31.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,52.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,32.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,33.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,3.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,19.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1,octmnist,RegNetY400MF,L30_G30,tralo,1,29,29,7,29,0,0,29,0,0,False,False,,,0.0,46.0,True,0,0,0,0,,140.0,213.0
results/headroom/headroom_b30_lrc0.0001/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2,octmnist,RegNetY400MF,L30_G30,tralo,2,29,29,7,29,0,0,29,0,0,False,False,,,0.0,49.0,True,0,0,0,0,,129.0,241.0
